,N,M,L,U,Wt_PB,Wt_PCF,Wt_PE,Wt_PS,Wt_PM,Wt_PRev,Wt_Vol,PNL,avg_PNL,Avg_Return,Sharpe_ratio,Max_Drawdown,std_dev,pct_winning_trades,pct_losing_trades,Final_Port_val
0,5,15,40,10,-8.963425742718878e-06,9.679564774122254e-08,5.643647917971943e-07,5.551537189101768e-06,0.6361327944501046,-0.06273743727513507,0.42660739355314437,-5515903.312361703,-59955.47078654025,-235.65812703382193,-11.796773446217422,5444722.37576824,19.976490021462993,42.391304347826086,57.608695652173914,5807219.422963523
0,5,20,15,20,-5.57097484347883e-06,6.300395554751169e-08,2.0467442337558698e-07,1.4438369338498573e-06,0.23768773672243548,0.029011804086867855,0.7333043186502273,-2691073.361286654,-58501.59481057944,-53.36900852949415,-2.6446680267968903,3881144.3907663226,20.17985168222888,45.65217391304348,54.347826086956516,7989139.135274658
0,5,20,15,15,-5.57097484347883e-06,6.300395554751169e-08,2.0467442337558698e-07,1.4438369338498573e-06,0.23768773672243548,0.029011804086867855,0.7333043186502273,-5581110.724221361,-91493.61842985837,-230.39187004723877,-10.913535344443739,6146865.056830481,21.11065413505396,39.34426229508197,60.65573770491803,5238909.363808136
0,5,20,15,10,-5.57097484347883e-06,6.300395554751169e-08,2.0467442337558698e-07,1.4438369338498573e-06,0.23768773672243548,0.029011804086867855,0.7333043186502273,-5663743.842087197,-61562.433066165184,-243.49047616044848,-11.654532639528213,5681327.7338848,20.892341519951778,41.30434782608695,58.69565217391305,5677200.109957658
0,5,20,20,20,-6.536169638633944e-06,6.978338416992572e-08,2.782264673890685e-07,2.139141696925981e-06,0.3092813466327289,0.03536473484793067,0.6553579675374307,-2807529.7978116986,-61033.25647416736,-57.979006434817116,-2.878862198831448,3610021.2504877727,20.13955598790079,45.65217391304348,54.347826086956516,7889260.991140639
0,5,20,20,15,-6.536169638633944e-06,6.978338416992572e-08,2.782264673890685e-07,2.139141696925981e-06,0.3092813466327289,0.03536473484793067,0.6553579675374307,-5484117.311325123,-89903.56248073971,-225.28039636244333,-10.874073975531223,6096134.520395528,20.717202850501838,40.98360655737705,59.01639344262295,5320352.818438099
0,5,20,20,10,-6.536169638633944e-06,6.978338416992572e-08,2.782264673890685e-07,2.139141696925981e-06,0.3092813466327289,0.03536473484793067,0.6553579675374307,-5485431.00310677,-59624.25003376924,-224.19164671578892,-10.912005868203405,5466228.630419431,20.545411120888694,40.21739130434783,59.78260869565217,5917537.255250363
0,5,20,30,20,-1.7603368970498988e-05,8.933386425847125e-08,3.9864189047037434e-07,1.5446793269116836e-06,0.441310229369545,0.040779886174130635,0.5179254551702133,-2647585.7957043396,-57556.21295009434,-52.673522520344775,-2.7347644320183626,3604076.9533162154,19.260716536915638,50.0,50.0,8061296.364892144
0,5,20,30,15,-1.7603368970498988e-05,8.933386425847125e-08,3.9864189047037434e-07,1.5446793269116836e-06,0.441310229369545,0.040779886174130635,0.5179254551702133,-5620043.6599058,-92131.86327714425,-237.32715747472693,-11.704933511221594,6161832.750479386,20.27582277568684,40.98360655737705,59.01639344262295,5181935.267278549
0,5,20,30,10,-1.7603368970498988e-05,8.933386425847125e-08,3.9864189047037434e-07,1.5446793269116836e-06,0.441310229369545,0.040779886174130635,0.5179254551702133,-5390859.645273696,-58596.30049210539,-213.82091536760558,-10.526813698979732,5143220.525495801,20.31202617258528,41.30434782608695,58.69565217391305,6050668.402966207
